file	label	intervaldID	t	f0	F1	F2	F3	H1c	H2c	H4c	A1c	A2c	A3c	H2Ku	H5Ku	CPP
a1_01_buerodrucker_m31.wav	u:	1	2.272	89.28399034511267	480.079	2381.714	3133.439	108.35726761084538	103.82215184050285	91.38085694136981	79.5346206975536	78.66118422716505	81.30310467976398	85.2819134900943	58.87154860915093	2.34
a1_01_buerodrucker_m31.wav	i:	2	4.316	98.65323954359185	255.827	2082.487	2885.523	116.90035228911809	113.78116715572304	104.44680840391071	112.0855668811063	99.85855944605596	102.78368920932846	90.38522934042511	63.90540367390195	21.252
a1_01_buerodrucker_m31.wav	a:	3	4.818	95.98615767629865	589.691	1286.49	3165.657	116.98565656578057	111.4190243536963	94.41640662286972	95.95420462019507	94.8424919986848	88.84601533245173	74.78388770987942	69.752832226304	18.019
a1_02_grosserbagger_m31.wav	u:	4	2.544	105.95299247839556	265.844	2771.028	2870.288	116.73328504033364	117.18943255953032	108.0587382918228	117.59323117594822	112.95905881948869	92.19078829177255	77.93215371490936	60.62757444874768	3.06
a1_02_grosserbagger_m31.wav	i:	5	3.366	95.38123797963992	281.613	1891.658	2616.33	113.5416038526389	113.58515162903026	106.5006971944982	110.98931769406893	100.85156163873161	109.69846606130581	83.38783070054767	68.24179840827686	3.366
a1_02_grosserbagger_m31.wav	a:	6	3.901	77.905132666346	1171.525	2373.772	3465.176	107.14932325397302	101.3100934259829	85.78202421250626	88.2531075380382	79.89836133273408	74.09211063729252	69.87601322549207	68.59654199919099	5.746
a1_03_kuh_m31.wav	u:	7	2.137	148.51704111845785	410.987	2175.596	3081.08	114.477467994239	107.73822149087202	95.9433982222466	99.77553553676235	74.00581450841898	95.65307053464142	69.97640305775903	57.73527400282252	1.07
a1_03_kuh_m31.wav	i:	8	4.11	192.92540615838357	223.111	2345.69	3292.612	119.77981982762296	108.30675243360268	81.13604423616381	120.05598355515534	105.77584481344752	103.6688594104425	77.22815628288701	60.59018890942835	11.674
a1_03_kuh_m31.wav	a:	9	5.389	95.04938231181795	555.769	1088.891	2580.486	113.2349948745902	105.77030190824291	84.42463372399624	83.32762215846952	79.36563134315995	90.95530629483764	81.12161770797513	62.737032472304115	7.621
a1_04_bodentrommel_m31.wav	u:	10	3.386	115.68488419360126	402.545	2311.759	3347.83	115.35672889821376	108.9917091152767	94.6940109478385	103.72585787980542	69.37388256815152	89.7207670786588	67.5528533552451	57.665111727021944	2.108
a1_04_bodentrommel_m31.wav	i:	11	4.315	108.86856815897599	286.511	2114.712	3272.454	114.83308113031532	108.43715960957577	104.60644360308754	104.13299748583228	85.98397828365886	131.7334072732917	81.26727609069124	60.62180781355357	20.25
a1_04_bodentrommel_m31.wav	a:	12	4.687	89.02900532780522	626.495	2283.544	3309.391	112.32027257922842	108.11294107156128	90.86511689192592	85.4369078806097	94.44427995762403	98.44132704160185	77.43727693818903	59.714914296588844	21.432
a1_05_blindschleiche_m31.wav	u:	13	2.907	199.3371510596186	245.705	1943.096	2891.013	112.21003292681206	106.94640904952716	104.59308097688863	111.98284102739707	100.0662606848496	101.23925255821862	75.73305554893852	58.931189796635344	8.75
a1_05_blindschleiche_m31.wav	i:	14	4.322	125.26623540602131	262.432	2371.889	3138.804	116.55500012416064	113.83484757025491	76.08166365240862	113.95323267236687	100.48165129026238	94.99029554295625	64.57193312368092	56.53600980119511	19.872
a1_05_blindschleiche_m31.wav	a:	15	4.851	88.75976235287217	616.806	1273.847	2526.671	109.92630437795977	104.39518427210918	83.54641296535598	78.5587722713735	76.58530154882396	89.93033495443241	86.11688939306772	57.29296177386594	2.148
a1_06_kleinwagen_m31.wav	u:	16	5.96	186.2759235383441	359.322	903.629	2526.598	115.16062033726588	111.51086370978835	99.18686944549148	111.27283176459463	110.08013167413529	95.58491766825563	78.23119445006553	55.03764247628125	3.885
a1_06_kleinwagen_m31.wav	i:	17	8.029	186.28408661269071	329.736	2170.99	3022.353	115.51889376127706	111.4325414163119	82.59224446049514	110.3455655856202	103.21869654470363	104.96785559509179	86.66031367771407	55.84303006655195	-2.601
a1_06_kleinwagen_m31.wav	a:	18	8.837	191.68612388675936	576.014	1311.732	2230.675	113.09138023628358	105.20243849345525	103.2371820127817	101.83432177151792	108.2970550042812	114.49682854263101	87.98390048362154	65.78033125058306	18.342
a1_07_aeffchen_m31.wav	u:	19	3.148	182.59153639481346	349.152	922.096	2745.284	113.26130595807345	97.4896907995057	83.30384338257437	97.3067090196049	81.51763621395031	107.0930078398758	77.55516135225095	76.25918689003137	13.884
a1_07_aeffchen_m31.wav	i:	20	3.83	132.62130790447765	343.513	2198.129	2845.799	112.90413037210001	100.29996648349298	86.51550962720322	100.03061897430739	96.03181559416737	114.60523943480423	80.233597107572	72.64756315825908	0.046
a1_07_aeffchen_m31.wav	a:	21	4.618	155.7991469409917	542.704	1485.711	2599.293	118.38232605284391	105.04838595096874	98.0668085774754	97.42311228165904	107.99552934953716	104.0673192495934	83.34169447189066	70.90933617212654	18.408
a1_08_storch_m31.wav	u:	22	2.784	130.41000388966242	301.403	2344.392	3273.479	117.06565216380568	105.03370378531417	103.36737215266255	104.53835525893551	91.39206964936311	98.55647207557874	64.98328945627331	57.81735656315861	8.829
a1_08_storch_m31.wav	i:	23	3.783	193.94186477245105	344.699	2434.228	2987.716	110.27958556643472	86.026691433774	68.49567081049972	88.69400306063324	96.31536474553572	87.11935045162384	61.26520741764844	57.00820847939635	6.383
a1_08_storch_m31.wav	a:	24	4.636	85.1486392644423	591.759	1283.737	2553.372	108.31399265979425	104.61190976378077	91.08789697646831	74.09841106951679	94.43873852408068	103.32409872863819	71.37342287188636	77.7055625580204	4.942
a1_09_anakonda_m31.wav	u:	25	3.044	192.33321884913076	431.451	2213.793	3690.357	116.53038719519068	101.55222471619496	93.91987461731613	100.89110814045682	77.95163911765665	76.44869474230471	70.14385729305596	59.4010562672965	11.866
a1_09_anakonda_m31.wav	i:	26	4.127	110.83944780735538	258.709	2266.506	3461.945	114.16889854692462	112.513300309573	95.37042441333864	112.87813873299973	104.35202439398093	107.1989589406337	70.12862827919952	63.43598253306645	17.792
a1_09_anakonda_m31.wav	a:	27	4.823	--undefined--	711.537	1339.065	2610.605	--undefined--	--undefined--	--undefined--	-8.20953277715342	-10.488470146819996	18.852742348646256	0	0	-3.618
a1_10_spatz_m31.wav	u:	28	2.205	208.5477576697293	349.254	2653.488	3299.917	112.36873311743923	97.50276575757965	93.70096495497243	94.09300773773337	91.97843230357887	92.69766679839961	75.18256263253572	66.55188113480234	1.447
a1_10_spatz_m31.wav	i:	29	2.89	232.78596390503583	242.512	2096.551	2806.925	116.27886166002934	99.53583896254369	77.32932314632639	116.41140648755695	102.85772586724707	96.4912157532432	82.10771039195349	56.36109354581562	13.458
a1_10_spatz_m31.wav	a:	30	3.264	251.7186108658478	767.045	1063.72	2657.586	115.48502600409111	103.23795287027366	67.99608938099787	89.44560007450276	69.78031271069035	79.90450277911921	83.42650625646114	58.50453308131232	5.147
a1_11_violine_m31.wav	u:	31	3.151	186.55444697951907	268.503	738.654	2700.671	117.76273369174737	112.99021016102573	116.58749141895699	112.36874310432503	116.34782178918886	101.70126334409801	63.010368865874035	57.00766549785898	5.168
a1_11_violine_m31.wav	i:	32	4.361	147.10759532430004	312.013	2278.074	2914.142	117.01723259328693	116.12229813450995	100.08127307270075	116.29809247261616	101.58690575352219	98.59232306870456	81.26578779598836	58.17632441075599	2.578
a1_11_violine_m31.wav	a:	33	4.824	102.80602524979598	339.661	1177.582	2513.263	115.26476286619724	107.45034890250774	98.68569259100008	89.05743243715705	96.23331747789979	112.85317168483775	78.1442179073773	73.47954608672123	17.948
a1_12_backofen_m31.wav	u:	34	2.633	99.90178406158353	347.059	2187.796	3214.64	109.97426623750735	103.9336996715034	107.72156199778732	107.50559409678576	85.11110440301505	76.32231422713798	70.10897062784713	72.26763466195798	2.799
a1_12_backofen_m31.wav	i:	35	3.685	94.32320850916607	229.626	2452.585	3197.453	113.71916925420392	112.53752325529433	100.20292946414028	112.9528379178797	88.09910439205848	83.9767146139805	74.86260165434996	58.58795093089726	5.119
a1_12_backofen_m31.wav	a:	36	4.45	93.38466118806939	602.737	1128.323	2477.179	111.20588536300994	105.5528123143907	90.00604399968866	76.4098542555055	78.59838547461916	101.40325962244376	74.78532559619623	65.10385581361851	2.067
a2_01_elefant_w26.wav	u:	37	1.577	370.26457596283257	373.934	2194.294	3082.094	103.09852288134638	94.24182338214322	90.37991615826488	103.12611160045546	66.11613707841911	66.22757525370221	64.27165375945604	49.45869134677119	14.912
a2_01_elefant_w26.wav	i:	38	2.757	314.93311040139696	316.818	1306.812	2812.435	84.55558367975154	91.9247907277925	78.77691442549377	84.0001519453708	79.32935228369541	113.45676310953307	60.429249788902275	69.37114692342452	12.404
